State_2016,Sex_2016,Population (2016),State_2017,Sex_2017,Population (2017),,State_2018,Sex_2018,Population (2018)
Johor,Male,238.2,Johor,Male,241.6,,Johor,Male,245.1
Johor,Female,224.2,Johor,Female,227.4,,Johor,Female,230.6
Johor,Male,820.7,Johor,Male,832.2,,Johor,Male,843.5
Johor,Female,716.2,Johor,Female,726.1,,Johor,Female,736
Johor,Male,186.4,Johor,Male,189.1,,Johor,Male,191.7
Johor,Female,146.7,Johor,Female,148.7,,Johor,Female,150.8
Johor,Male,114.2,Johor,Male,116.1,,Johor,Male,117.9
Johor,Female,103.1,Johor,Female,104.8,,Johor,Female,106.4
Johor,Male,42.6,Johor,Male,43.3,,Johor,Male,44
Johor,Female,37.3,Johor,Female,37.9,,Johor,Female,38.5
Johor,Male,144,Johor,Male,146,,Johor,Male,148
Johor,Female,129.9,Johor,Female,131.7,,Johor,Female,133.5
Johor,Male,90.8,Johor,Male,92.1,,Johor,Male,93.5
Johor,Female,82.2,Johor,Female,83.4,,Johor,Female,84.6
Johor,Male,106.8,Johor,Male,108.3,,Johor,Male,109.8
Johor,Female,103.2,Johor,Female,104.7,,Johor,Female,106.1
Johor,Male,150.5,Johor,Male,152.7,,Johor,Male,154.7
Johor,Female,129,Johor,Female,130.8,,Johor,Female,132.5
Johor,Male,78.4,Johor,Male,79.5,,Johor,Male,80.6
Johor,Female,73,Johor,Female,74,,Johor,Female,75
Kedah,Male,75.4,Kedah,Male,76.5,,Kedah,Male,77.7
Kedah,Female,74.2,Kedah,Female,75.3,,Kedah,Female,76.4
Kedah,Male,23.5,Kedah,Male,23.9,,Kedah,Male,24.2
Kedah,Female,23,Kedah,Female,23.4,,Kedah,Female,23.7
Kedah,Male,200.7,Kedah,Male,203.5,,Kedah,Male,206.3
Kedah,Female,200.5,Kedah,Female,203.2,,Kedah,Female,206
Kedah,Male,255.2,Kedah,Male,258.7,,Kedah,Male,262.2
Kedah,Female,245.7,Kedah,Female,249,,Kedah,Female,252.2
Kedah,Male,118.8,Kedah,Male,120.6,,Kedah,Male,122.4
Kedah,Female,124.5,Kedah,Female,126.3,,Kedah,Female,128.1
Kedah,Male,166.6,Kedah,Male,168.9,,Kedah,Male,171.2
Kedah,Female,150.4,Kedah,Female,152.4,,Kedah,Female,154.4
Kedah,Male,56.4,Kedah,Male,57.3,,Kedah,Male,58.2
Kedah,Female,50.1,Kedah,Female,50.9,,Kedah,Female,51.7
Kedah,Male,35.5,Kedah,Male,36.1,,Kedah,Male,36.6
Kedah,Female,34.2,Kedah,Female,34.7,,Kedah,Female,35.3
Kedah,Male,38.6,Kedah,Male,39.2,,Kedah,Male,39.8
Kedah,Female,36.1,Kedah,Female,36.6,,Kedah,Female,37.2
Kedah,Male,37.5,Kedah,Male,38.1,,Kedah,Male,38.7
